country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
UK,GBR,12/17/2020,,,,,83874,,,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
China,CHN,12/18/2020,,,,,187500,,,,130,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Northern Ireland,,12/18/2020,,,,,1778,,,,939,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Russia,RUS,12/18/2020,,,,,3357,,,,23,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
UK,GBR,12/18/2020,,,,,83874,,,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Canada,CAN,12/19/2020,8734,8734,,,,0.02,0.02,,,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
China,CHN,12/19/2020,,,,,187500,,,,130,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Israel,ISR,12/19/2020,57,57,,,,0,0,,,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Northern Ireland,,12/19/2020,,,,,1778,,,,939,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Russia,RUS,12/19/2020,,,,,3357,,,,23,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
UK,GBR,12/19/2020,,,,,83874,,,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Canada,CAN,12/20/2020,,,,,3571,,,,95,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
China,CHN,12/20/2020,,,,,187500,,,,130,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Israel,ISR,12/20/2020,7371,7371,,7314,7314,0.09,0.09,,845,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Northern Ireland,,12/20/2020,16068,16068,,,1778,0.85,0.85,,939,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Russia,RUS,12/20/2020,,,,,3357,,,,23,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
UK,GBR,12/20/2020,673216,673216,,,83874,0.99,0.99,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
USA,USA,12/20/2020,556208,556208,,,,0.17,0.17,,,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Canada,CAN,12/21/2020,,,,,3571,,,,95,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
